,Mkt-RF,SMB,HML,RF
201610   ,-1.88   ,-1.55    ,4.29    ,0.02
201611    ,1.39    ,0.17    ,4.35    ,0.01
201612    ,2.25   ,-0.51    ,2.69    ,0.03
201701    ,2.72    ,0.46   ,-0.57    ,0.04
201702    ,2.28   ,-0.62   ,-1.74    ,0.04
201703    ,1.48    ,0.32   ,-1.78    ,0.03
201704    ,1.86    ,0.37   ,-1.38    ,0.05
201705    ,2.20   ,-0.33   ,-2.67    ,0.06
201706    ,0.60    ,1.68    ,1.55    ,0.06
201707    ,2.51   ,-0.10    ,1.18    ,0.07
201708    ,0.13   ,-0.15   ,-1.31    ,0.09
201709    ,2.30    ,1.27    ,1.61    ,0.09
201710    ,1.80   ,-0.87   ,-0.93    ,0.09
201711    ,1.93   ,-0.61   ,-0.27    ,0.08
201712    ,1.38    ,0.90    ,0.22    ,0.09
201801    ,5.15   ,-1.01   ,-1.37    ,0.11
201802   ,-4.00    ,0.83   ,-1.74    ,0.11
201803   ,-1.76    ,1.19   ,-0.47    ,0.12
201804    ,0.93   ,-0.65    ,1.82    ,0.14
201805    ,0.49    ,1.88   ,-4.45    ,0.14
201806   ,-0.49   ,-0.70   ,-1.32    ,0.14
201807    ,2.53   ,-2.56    ,1.02    ,0.16
201808    ,0.87   ,-0.38   ,-4.09    ,0.16
201809    ,0.32   ,-1.50    ,0.31    ,0.15
201810   ,-8.19   ,-2.51    ,2.39    ,0.19
201811    ,0.88   ,-0.57   ,-1.32    ,0.18
201812   ,-7.68   ,-1.01    ,0.70    ,0.19
201901    ,7.47    ,0.00   ,-0.77    ,0.21
201902    ,2.95    ,0.31   ,-2.21    ,0.18
201903    ,0.75   ,-1.83   ,-3.18    ,0.19
