201606   ,-3.28    ,1.08   ,-1.40    ,0.02
201607    ,5.03    ,0.02    ,2.08    ,0.02
201608    ,0.09   ,-0.26    ,2.46    ,0.02
201609    ,1.59    ,2.16   ,-0.43    ,0.02
201610   ,-1.67    ,0.27    ,5.07    ,0.02
201611   ,-2.20   ,-0.24    ,2.89    ,0.01
201612    ,2.79   ,-1.09    ,1.78    ,0.03
201701    ,3.54    ,1.33    ,0.98    ,0.04
201702    ,0.77    ,0.62   ,-0.62    ,0.04
201703    ,3.02   ,-1.04   ,-0.86    ,0.03
201704    ,2.77   ,-0.65   ,-0.67    ,0.05
201705    ,3.52   ,-0.30   ,-1.77    ,0.06
201706    ,0.35    ,1.46    ,1.24    ,0.06
201707    ,3.21    ,0.31    ,2.03    ,0.07
201708    ,0.24    ,0.44   ,-0.31    ,0.09
201709    ,2.15   ,-0.08    ,0.97    ,0.09
201710    ,1.41   ,-0.01   ,-0.07    ,0.09
201711    ,0.74    ,0.08   ,-0.14    ,0.08
201712    ,1.78    ,1.77    ,0.12    ,0.09
201801    ,4.72    ,0.33    ,0.15    ,0.11
201802   ,-4.30    ,1.35   ,-0.43    ,0.11
201803   ,-1.23   ,-0.44   ,-1.58    ,0.12
201804    ,1.71   ,-2.13    ,2.12    ,0.14
201805   ,-1.73    ,1.85   ,-4.50    ,0.14
201806   ,-1.51   ,-1.22   ,-1.03    ,0.14
201807    ,1.76   ,-2.44    ,1.15    ,0.16
201808   ,-2.01    ,0.69   ,-3.28    ,0.16
201809    ,0.68   ,-0.89    ,1.62    ,0.15
201810   ,-8.72   ,-1.20    ,1.89    ,0.19
201811   ,-0.15    ,0.03   ,-1.60    ,0.18
201812   ,-5.27   ,-2.15    ,1.91    ,0.19
201901    ,6.44   ,-0.72   ,-1.58    ,0.21
201902    ,2.33   ,-0.68   ,-1.72    ,0.18
201903    ,0.36   ,-1.14   ,-2.09    ,0.19
